Year,StartDate,EndDate,Product,Overall Range Min,Overall Range Max,Common Price
2023,2023-07-14,2023-07-20,Gasoline (RON91),53.5,66.4,65.0
2023,2023-07-14,2023-07-20,Diesel,53.0,61.94,60.83
2023,2023-07-14,2023-07-20,Diesel Plus,47.85,56.55,55.46
2023,2023-07-14,2023-07-20,Kerosene,52.85,61.93,65.17
2023,2023-07-21,2023-07-27,Gasoline (RON97/100),58.2,80.2,72.1
2023,2023-07-21,2023-07-27,Gasoline (RON95),53.99,77.72,66.0
2023,2023-07-21,2023-07-27,Gasoline (RON91),53.49,76.72,61.84
2023,2023-07-21,2023-07-27,Diesel,49.5,66.78,52.55
2023,2023-07-21,2023-07-27,Diesel Plus,54.25,72.65,56.9
2023,2023-07-21,2023-07-27,Kerosene,66.91,79.75,69.48
2023,2023-07-28,2023-08-03,Gasoline (RON97/100),59.15,81.55,73.45
2023,2023-07-28,2023-08-03,Gasoline (RON95),55.0,79.07,67.35
2023,2023-07-28,2023-08-03,Gasoline (RON91),54.0,78.07,63.19
2023,2023-07-28,2023-08-03,Diesel,49.95,67.23,53.0
2023,2023-07-28,2023-08-03,Diesel Plus,54.7,73.1,71.55
2023,2023-07-28,2023-08-03,Kerosene,67.45,80.1,69.06
2023,2023-06-01,2023-06-07,Gasoline (RON97/100),57.7,70.1,70.75
2023,2023-06-01,2023-06-07,Gasoline (RON95),57.7,70.1,70.75
2023,2023-06-01,2023-06-07,Gasoline (RON91),53.0,66.85,62.36
2023,2023-06-01,2023-06-07,Diesel,52.0,63.4,61.56
2023,2023-06-01,2023-06-07,Diesel Plus,47.55,55.7,53.37
2023,2023-06-01,2023-06-07,Kerosene,52.95,59.95,59.87
2023,2023-06-08,2023-06-14,Gasoline (RON97/100),56.0,70.6,68.94
2023,2023-06-08,2023-06-14,Gasoline (RON95),56.0,70.6,70.75
2023,2023-06-08,2023-06-14,Gasoline (RON91),53.0,66.25,61.76
2023,2023-06-08,2023-06-14,Diesel,52.0,62.78,60.48
2023,2023-06-08,2023-06-14,Diesel Plus,46.75,55.4,53.3
2023,2023-06-08,2023-06-14,Kerosene,51.75,59.55,59.42
2023,2023-06-15,2023-06-21,Gasoline (RON97/100),57.2,71.8,70.14
2023,2023-06-15,2023-06-21,Gasoline (RON95),57.2,71.8,71.95
2023,2023-06-15,2023-06-21,Gasoline (RON91),53.0,67.45,61.37
2023,2023-06-15,2023-06-21,Diesel,52.0,63.65,60.78
2023,2023-06-15,2023-06-21,Diesel Plus,48.0,55.47,53.76
2023,2023-06-15,2023-06-21,Kerosene,52.95,60.95,60.82
2023,2023-06-24,2023-06-30,Gasoline (RON97/100),56.85,71.45,71.58
2023,2023-06-24,2023-06-30,Gasoline (RON95),56.85,71.45,74.28
2023,2023-06-24,2023-06-30,Gasoline (RON91),53.0,67.1,61.34
2023,2023-06-24,2023-06-30,Diesel,52.0,62.3,60.53
2023,2023-06-24,2023-06-30,Diesel Plus,47.75,55.37,53.84
2023,2023-06-24,2023-06-30,Kerosene,52.85,60.85,56.08
2023,2023-06-29,2023-07-05,Gasoline (RON97/100),57.05,71.65,71.13
2023,2023-06-29,2023-07-05,Gasoline (RON95),57.05,71.65,72.99
2023,2023-06-29,2023-07-05,Gasoline (RON91),53.0,66.75,63.44
2023,2023-06-29,2023-07-05,Diesel,52.0,62.5,60.27
2023,2023-06-29,2023-07-05,Diesel Plus,47.85,55.83,54.05
2023,2023-06-29,2023-07-05,Kerosene,51.63,61.9,60.38
2023,2023-03-02,2023-03-08,Gasoline (RON97/100),59.0,72.65,70.72
2023,2023-03-02,2023-03-08,Gasoline (RON95),59.0,72.65,70.72
2023,2023-03-02,2023-03-08,Gasoline (RON91),56.0,66.9,65.39
2023,2023-03-02,2023-03-08,Diesel,55.0,66.7,63.74
2023,2023-03-02,2023-03-08,Diesel Plus,53.3,59.95,59.77
2023,2023-03-02,2023-03-08,Kerosene,58.55,64.1,63.12
2023,2023-03-10,2023-03-16,Gasoline (RON97/100),59.4,73.05,70.68
2023,2023-03-10,2023-03-16,Gasoline (RON95),59.4,73.05,70.68
2023,2023-03-10,2023-03-16,Gasoline (RON91),56.0,66.54,64.66
2023,2023-03-10,2023-03-16,Diesel,55.0,66.4,63.79
2023,2023-03-10,2023-03-16,Diesel Plus,54.1,61.45,60.11
2023,2023-03-10,2023-03-16,Kerosene,60.05,65.3,63.09
2023,2023-03-17,2023-03-23,Gasoline (RON97/100),58.9,72.8,69.2
2023,2023-03-17,2023-03-23,Gasoline (RON95),58.9,72.8,71.68
2023,2023-03-17,2023-03-23,Gasoline (RON91),55.6,67.79,65.49
2023,2023-03-17,2023-03-23,Diesel,55.5,66.29,64.51
2023,2023-03-17,2023-03-23,Diesel Plus,54.0,59.75,59.8
2023,2023-03-17,2023-03-23,Kerosene,58.9,65.2,62.78
2023,2023-03-24,2023-03-30,Gasoline (RON97/100),57.7,71.6,70.47
2023,2023-03-24,2023-03-30,Gasoline (RON95),57.7,71.6,70.47
2023,2023-03-24,2023-03-30,Gasoline (RON91),54.1,66.59,63.91
2023,2023-03-24,2023-03-30,Diesel,54.0,65.09,62.28
2023,2023-03-24,2023-03-30,Diesel Plus,51.85,58.25,57.53
2023,2023-03-24,2023-03-30,Kerosene,57.05,62.85,61.44
2023,2023-03-31,2023-04-06,Gasoline (RON97/100),56.85,70.75,68.8
2023,2023-03-31,2023-04-06,Gasoline (RON95),56.85,70.75,75.4
2023,2023-03-31,2023-04-06,Gasoline (RON91),54.15,65.74,63.04
2023,2023-03-31,2023-04-06,Diesel,53.65,64.24,60.99
2023,2023-03-31,2023-04-06,Diesel Plus,50.45,57.0,56.22
2023,2023-03-31,2023-04-06,Kerosene,55.65,61.55,59.65
2023,2023-05-06,2023-05-12,Gasoline (RON97/100),57.7,71.65,67.76
2023,2023-05-06,2023-05-12,Gasoline (RON95),57.7,71.65,71.45
2023,2023-05-06,2023-05-12,Gasoline (RON91),55.0,66.25,64.19
2023,2023-05-06,2023-05-12,Diesel,54.0,64.45,61.34
2023,2023-05-06,2023-05-12,Diesel Plus,49.85,56.4,54.64
2023,2023-05-06,2023-05-12,Kerosene,53.55,61.35,58.23
2023,2023-05-12,2023-05-18,Gasoline (RON97/100),55.8,68.95,64.82
2023,2023-05-12,2023-05-18,Gasoline (RON95),55.8,68.95,65.2
2023,2023-05-12,2023-05-18,Gasoline (RON91),53.0,64.55,62.1
2023,2023-05-12,2023-05-18,Diesel,52.0,62.6,57.94
2023,2023-05-12,2023-05-18,Diesel Plus,46.95,54.65,52.08
2023,2023-05-12,2023-05-18,Kerosene,50.85,57.95,55.53
2023,2023-05-19,2023-05-25,Gasoline (RON97/100),55.9,69.3,66.76
2023,2023-05-19,2023-05-25,Gasoline (RON95),55.9,69.3,69.45
2023,2023-05-19,2023-05-25,Gasoline (RON91),53.0,64.95,61.32
2023,2023-05-19,2023-05-25,Diesel,52.0,62.64,59.28
2023,2023-05-19,2023-05-25,Diesel Plus,46.95,55.1,52.93
2023,2023-05-19,2023-05-25,Kerosene,52.25,59.35,56.93
2023,2023-05-25,2023-05-31,Gasoline (RON97/100),56.7,70.1,67.56
