YEAR,CIRCUMFERENCIAL AND RADIAL ROAD,NAME,CAR,PUJ,UV,TAXI,PUB,TRUCK,TRAILER,MC,TRICYCLE,TOTAL
2014,C1,RECTO,"23,673","17,956",,,259,816,382,"15,063","3,682","61,831"
2014,C2,MENDOZA,"61,144",104,,,217,"4,374",398,"20,199",633,"87,069"
2014,C2,PRES. QUIRINO AVE.,"88,806",158,,,180,"7,130","2,398","25,887",98,"124,657"
2014,C3,ARANETA AVE.,"68,009",1.473,,,18,"4,291",796,"21,649","1,124","95,888"
2014,C4,EDSA,"284,460","4,864",,,"14,970","4,417",1,"51,696",9,"360,417"
2014,C5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,"127,594",812,,,194,"10,508",914,"38,401",6,"178,429"
2014,R1,ROXAS BLVD.,"135,948",90,,,751,391,o,"31,734",49,"168,963"
2014,R2,TAFT AVE.,"50,897","14,930",,,"1,904",404,1,"14,935",392,"83,463"
2014,R3,SSH,"97,801","7,085",,,"6,065","9,484",807,"22,366",2,"143,610"
2014,R4,SHAW BLVD.,"57,922","10,756",,,50,"1,133",67,"18,115",14,"88,057"
2014,R5,ORTIGAS AVE.,"66,079","18,091",,,"1,003","4,252",352,"32,979",521,"123,277"
2014,R6,MAGSAYSAY BLVD.,"55,977","15,292",,,429,"2,543",313,"23,155","1,044","98,753"
2014,R6,AURORA BLVD.,"60,873","16,602",,,85,"2,290",27,"22,420",257,"102,554"
2014,R7,QUEZON AVE.,"140,290","7,163",,,"1,557","4,061",570,"29,754",63,"183,458"
2014,R7,COMMONWEALTH AVE.,"158,199","16,508",,,"5,758","5,356",217,"46,429",634,"233,101"
2014,R8,A. BONIFACIO,"51,859","6,299",,,"1,834","9,230","3,939","15,644","1,549","90,354"
2014,R9,RIZAL AVE.,"25,464","12,075",,,304,"1,787",4,"17,749","1,568","58,951"
2014,R10,DEL PAN,"21,326","1,902",,,48,"4,974","3,856","11,737","1,822","45,665"
2014,,MARCOS HIGHWAY,"109,239","20,718",,,166,6.524,533,"31,650",153,"162,466"
2014,,MCARTHUR HIGHWAY,"35,945","9,432",,,"2,268","3,681",402,"24,946",270,"76,944"
2013,C1,RECTO,"29,237","17,747",,,"1,073",939,347,"12,559","1,631","63,533"
2013,C2,MENDOZA,"54,759","2,938",,,366,"5,093","1,000","17,225","1,142","82,523"
2013,C2,PRES. QUIRINO AVE.,"94,475","4,668",,,210,"6,729","2,204","21,083",524,"129,893"
2013,C3,ARANETA AVE.,"74,498","1,572",,,26,"6,297",815,"21,375","1,111","105,694"
2013,C4,EDSA,"272,965","3,032",,,"14,919","4,491",4,"47,192",9,"342,612"
2013,C5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,"133,929","2,268",,,35,"7,142",817,"19,974","11,764","175,929"
2013,R1,ROXAS BLVD.,"117,255",87,,,"1,037",459,7,"23,105",13,"141,963"
