Year,Month,For Lifeline Customers,kWh Consumption,Total Bill
2012,11,FALSE,1000,12.2657
2012,11,FALSE,1500,12.3115
2012,11,FALSE,3000,12.4322
2012,11,FALSE,5000,12.4805
2012,12,TRUE,50,5.4216
2012,12,TRUE,70,6.9473
2012,12,TRUE,100,8.4572
2012,12,FALSE,200,10.5847
2012,12,FALSE,300,10.9408
2012,12,FALSE,400,11.2973
2012,12,FALSE,500,11.9445
2012,12,FALSE,600,11.9353
2012,12,FALSE,700,11.9359
2012,12,FALSE,800,11.9425
2012,12,FALSE,900,11.9477
2012,12,FALSE,1000,11.9519
2012,12,FALSE,1500,11.9977
2012,12,FALSE,3000,12.1184
2012,12,FALSE,5000,12.1668
2013,1,TRUE,50,5.5963
2013,1,TRUE,70,7.1774
2013,1,TRUE,100,8.7427
2013,1,FALSE,200,10.9444
2013,1,FALSE,300,11.3004
2013,1,FALSE,400,11.657
2013,1,FALSE,500,12.3042
2013,1,FALSE,600,12.295
2013,1,FALSE,700,12.2955
2013,1,FALSE,800,12.3022
2013,1,FALSE,900,12.3074
2013,1,FALSE,1000,12.3115
2013,1,FALSE,1500,12.3573
2013,1,FALSE,3000,12.4781
2013,1,FALSE,5000,12.5264
2013,2,TRUE,50,5.312
2013,2,TRUE,70,6.8001
2013,2,TRUE,100,8.2723
2013,2,FALSE,200,10.3684
2013,2,FALSE,300,10.7244
2013,2,FALSE,400,11.0809
2013,2,FALSE,500,11.7282
2013,2,FALSE,600,11.719
2013,2,FALSE,700,11.7195
2013,2,FALSE,800,11.7262
2013,2,FALSE,900,11.7314
2013,2,FALSE,1000,11.7355
2013,2,FALSE,1500,11.7813
2013,2,FALSE,3000,11.9021
2013,2,FALSE,5000,11.9504
2013,3,TRUE,50,5.4662
2013,3,TRUE,70,6.9402
2013,3,TRUE,100,8.3984
2013,3,FALSE,200,10.4694
2013,3,FALSE,300,10.8254
2013,3,FALSE,400,11.1819
2013,3,FALSE,500,11.8292
2013,3,FALSE,600,11.82
2013,3,FALSE,700,11.8205
2013,3,FALSE,800,11.8272
2013,3,FALSE,900,11.8324
2013,3,FALSE,1000,11.8365
2013,3,FALSE,1500,11.8823
2013,3,FALSE,3000,12.0031
2013,3,FALSE,5000,12.0514
2013,4,TRUE,50,5.5881
2013,4,TRUE,70,7.1038
2013,4,TRUE,100,8.6036
2013,4,FALSE,200,10.742
2013,4,FALSE,300,11.0981
2013,4,FALSE,400,11.4546
